"ITEM","DMDUNIT","MAX_DATE","BASEPRICE","LOC","SPZONE","PMZONE","U_COUNTRY"
"220239235","220237460_NOCOLOUR",16-OCT-19,1.85,"308630003","7_79","8_252","OMN"
"220239235","220237460_NOCOLOUR",16-OCT-19,1.85,"307390003","7_79","8_252","OMN"
"220239235","220237460_NOCOLOUR",16-OCT-19,1.85,"307490003","7_79","8_252","OMN"
"220204131","220237837_NOCOLOUR",16-FEB-22,7.14,"308630003","7_79","8_252","OMN"
"220204131","220237837_NOCOLOUR",16-FEB-22,7.14,"307390003","7_79","8_252","OMN"
"220204131","220237837_NOCOLOUR",16-FEB-22,7.14,"307490003","7_79","8_252","OMN"
"220239218","220237997_NOCOLOUR",03-JAN-22,1.5851,"308630003","7_79","8_252","OMN"
"220239218","220237997_NOCOLOUR",03-JAN-22,1.5851,"307390003","7_79","8_252","OMN"
"220239218","220237997_NOCOLOUR",03-JAN-22,1.5851,"307490003","7_79","8_252","OMN"
"220237577","220238294_NOCOLOUR",15-FEB-22,3.4,"308630003","7_79","8_252","OMN"
"220237577","220238294_NOCOLOUR",15-FEB-22,3.4,"307390003","7_79","8_252","OMN"
"220237577","220238294_NOCOLOUR",15-FEB-22,3.4,"307490003","7_79","8_252","OMN"
"220215140","220238525_NOCOLOUR",02-APR-22,5.7064,"308630003","7_79","8_252","OMN"
"220215140","220238525_NOCOLOUR",02-APR-22,5.7064,"307390003","7_79","8_252","OMN"
"220215140","220238525_NOCOLOUR",02-APR-22,5.7064,"307490003","7_79","8_252","OMN"
"220238933","220238671_NOCOLOUR",28-DEC-18,38,"307490003","7_79","8_252","OMN"
"220238125","220238682_NOCOLOUR",28-DEC-18,0.45,"308630003","7_79","8_252","OMN"
"220238125","220238682_NOCOLOUR",28-DEC-18,0.45,"307390003","7_79","8_252","OMN"
"220238125","220238682_NOCOLOUR",28-DEC-18,0.45,"307490003","7_79","8_252","OMN"
"220238100","220238696_NOCOLOUR",15-FEB-22,12.2,"308630003","7_79","8_252","OMN"
"220238100","220238696_NOCOLOUR",15-FEB-22,12.2,"307390003","7_79","8_252","OMN"
"220238100","220238696_NOCOLOUR",15-FEB-22,12.2,"307490003","7_79","8_252","OMN"
"220237303","220238880_NOCOLOUR",03-JAN-22,16.4851,"308630003","7_79","8_252","OMN"
"220237303","220238880_NOCOLOUR",03-JAN-22,16.4851,"307390003","7_79","8_252","OMN"
"220237303","220238880_NOCOLOUR",03-JAN-22,16.4851,"307490003","7_79","8_252","OMN"
"220237823","220239168_NOCOLOUR",03-JAN-22,0,"308630003","7_79","8_252","OMN"
"220237823","220239168_NOCOLOUR",03-JAN-22,0,"307390003","7_79","8_252","OMN"
"220237823","220239168_NOCOLOUR",03-JAN-22,0,"307490003","7_79","8_252","OMN"
"220239120","220239198_NOCOLOUR",03-JAN-22,2.5362,"308630003","7_79","8_252","OMN"
"220239120","220239198_NOCOLOUR",03-JAN-22,2.5362,"307390003","7_79","8_252","OMN"
"220239120","220239198_NOCOLOUR",03-JAN-22,2.5362,"307490003","7_79","8_252","OMN"
"220236604","220239273_NOCOLOUR",03-JAN-22,3.1702,"308630003","7_79","8_252","OMN"
"220236604","220239273_NOCOLOUR",03-JAN-22,3.1702,"307390003","7_79","8_252","OMN"
"220236604","220239273_NOCOLOUR",03-JAN-22,3.1702,"307490003","7_79","8_252","OMN"
"220203354","220239358_NOCOLOUR",16-FEB-22,7.14,"308630003","7_79","8_252","OMN"
"220203354","220239358_NOCOLOUR",16-FEB-22,7.14,"307390003","7_79","8_252","OMN"
"220203354","220239358_NOCOLOUR",16-FEB-22,7.14,"307490003","7_79","8_252","OMN"
"220237114","220239511_NOCOLOUR",03-JAN-22,0,"308630003","7_79","8_252","OMN"
"220237114","220239511_NOCOLOUR",03-JAN-22,0,"307390003","7_79","8_252","OMN"
"220237114","220239511_NOCOLOUR",03-JAN-22,0,"307490003","7_79","8_252","OMN"
"220236622","220239694_NOCOLOUR",03-JAN-22,1.5851,"308630003","7_79","8_252","OMN"
"220236622","220239694_NOCOLOUR",03-JAN-22,1.5851,"307390003","7_79","8_252","OMN"
"220236622","220239694_NOCOLOUR",03-JAN-22,1.5851,"307490003","7_79","8_252","OMN"
"220204265","220239813_NOCOLOUR",16-FEB-22,7.14,"308630003","7_79","8_252","OMN"
"220204265","220239813_NOCOLOUR",16-FEB-22,7.14,"307390003","7_79","8_252","OMN"
"220204265","220239813_NOCOLOUR",16-FEB-22,7.14,"307490003","7_79","8_252","OMN"
"220239803","220239942_NOCOLOUR",15-FEB-22,3.4,"308630003","7_79","8_252","OMN"
"220239803","220239942_NOCOLOUR",15-FEB-22,3.4,"307390003","7_79","8_252","OMN"
"220239803","220239942_NOCOLOUR",15-FEB-22,3.4,"307490003","7_79","8_252","OMN"
"220204435","220240304_NOCOLOUR",30-DEC-21,4.25,"308630003","7_79","8_252","OMN"
"220204435","220240304_NOCOLOUR",30-DEC-21,4.25,"307390003","7_79","8_252","OMN"
"220204435","220240304_NOCOLOUR",30-DEC-21,4.25,"307490003","7_79","8_252","OMN"
"220211990","220240312_NOCOLOUR",07-JAN-22,1,"308630003","7_79","8_252","OMN"
"220211990","220240312_NOCOLOUR",07-JAN-22,1,"307390003","7_79","8_252","OMN"
"220211990","220240312_NOCOLOUR",07-JAN-22,1,"307490003","7_79","8_252","OMN"
"220205710","220240315_NOCOLOUR",30-DEC-21,1.25,"308630003","7_79","8_252","OMN"
"220205710","220240315_NOCOLOUR",30-DEC-21,1.25,"307390003","7_79","8_252","OMN"
"220205710","220240315_NOCOLOUR",30-DEC-21,1.25,"307490003","7_79","8_252","OMN"
"220209337","220240328_NOCOLOUR",10-AUG-21,4.25,"308630003","7_79","8_252","OMN"
"220209337","220240328_NOCOLOUR",10-AUG-21,4.25,"307390003","7_79","8_252","OMN"
"220209337","220240328_NOCOLOUR",10-AUG-21,4.25,"307490003","7_79","8_252","OMN"
"220207722","220240346_NOCOLOUR",20-SEP-21,1.5,"308630003","7_79","8_252","OMN"
"220207722","220240346_NOCOLOUR",20-SEP-21,1.5,"307390003","7_79","8_252","OMN"
"220207722","220240346_NOCOLOUR",20-SEP-21,1.5,"307490003","7_79","8_252","OMN"
"220208798","220240348_NOCOLOUR",09-AUG-21,9.5,"308630003","7_79","8_252","OMN"
"220208798","220240348_NOCOLOUR",09-AUG-21,9.5,"307390003","7_79","8_252","OMN"
"220208798","220240348_NOCOLOUR",09-AUG-21,9.5,"307490003","7_79","8_252","OMN"
"220204975","220240357_NOCOLOUR",11-JAN-22,2,"308630003","7_79","8_252","OMN"
"220204975","220240357_NOCOLOUR",11-JAN-22,2,"307390003","7_79","8_252","OMN"
"220204975","220240357_NOCOLOUR",11-JAN-22,2,"307490003","7_79","8_252","OMN"
"220211548","220240367_NOCOLOUR",15-FEB-22,1.5,"308630003","7_79","8_252","OMN"
"220211548","220240367_NOCOLOUR",15-FEB-22,1.5,"307390003","7_79","8_252","OMN"
"220211548","220240367_NOCOLOUR",15-FEB-22,1.5,"307490003","7_79","8_252","OMN"
"220206611","220240370_NOCOLOUR",20-SEP-21,1.5,"308630003","7_79","8_252","OMN"
"220206611","220240370_NOCOLOUR",20-SEP-21,1.5,"307390003","7_79","8_252","OMN"
"220206611","220240370_NOCOLOUR",20-SEP-21,1.5,"307490003","7_79","8_252","OMN"
"220207945","220240375_NOCOLOUR",30-DEC-21,1.25,"308630003","7_79","8_252","OMN"
"220207945","220240375_NOCOLOUR",30-DEC-21,1.25,"307390003","7_79","8_252","OMN"
"220207945","220240375_NOCOLOUR",30-DEC-21,1.25,"307490003","7_79","8_252","OMN"
"220212777","220240378_NOCOLOUR",15-FEB-22,2,"308630003","7_79","8_252","OMN"
"220212777","220240378_NOCOLOUR",15-FEB-22,2,"307390003","7_79","8_252","OMN"
"220212777","220240378_NOCOLOUR",15-FEB-22,2,"307490003","7_79","8_252","OMN"
"220207570","220240391_NOCOLOUR",30-DEC-21,1.75,"308630003","7_79","8_252","OMN"
"220207570","220240391_NOCOLOUR",30-DEC-21,1.75,"307390003","7_79","8_252","OMN"
"220207570","220240391_NOCOLOUR",30-DEC-21,1.75,"307490003","7_79","8_252","OMN"
